Un homme a une maladie génétique récessive une femme est homozygote dominante. Quelle est la probabilité qu'ils aient une fille 'saine' ?;1/2;1/4;3/4;1;'';''
Morgan a fait des expériences de génétique sur quels organismes ?;mouches;fourmis;petits pois;pâquerettes;'';''
Le sexe des poules est déterminé par les chromosomes 'Z' et 'W'. Quels chromosomes possèdent un coq ?;ZZ;WZ;WW;Z;'';''
L'hémophilie est une maladie génétique de quel type ?;liée au sexe;codominance;dominance;autosomique
Les gènes ont souvent plusieurs effets phénotypiques. Comment appele-t-on ce phénomène ?;pléiotropie;épistasie;norme de réaction;hérédité polygénique;'';''
Soit une maladie génétique dominante. Les parents sont Pp et Pp. Quelle est la probabilité qu'ils aient deux filles saines ?;1/16;1/4;1/2;3/4;'';''
Comment Morgan et son équipe appelaient les phénotypes "normaux" ?;sauvages;classiques;majoritaires;primaires;'';''
Quelle unité décrit la fréquence de recombinaison entre plusieurs gènes ?;centimorgan;millimorgane;centimetre;centimargon;'';''
Lequel de ces termes ne décrit pas un type de mutations chromosomiques ?;substitution;délétion;translocation;duplication;'';''
Le daltonisme est une maladie récessive liée au sexe. Soit une famille de 4 enfants : les 2 filles ne sont pas daltoniennes, les 2 garçons le sont. Le père est daltonien. Quel est le génotype de la mère ?;Dd;DD;dd;DD ou Dd;'';''
