Quel est l'horizon diagnostic d'un calcosol ?,Sca,Sci,BT,Aca,'',''
Quel est l'horizon diagnostic d'un (néo)luvisol ?,BT,BPh,S,E,'',''
Un sol de moins de 10 cm est appelé ?,lithosol,minisol,organosol,anthroposol,'',''
Quel sol a pour horizon diagnostic le S?,brunisol,podzosol,rendisol,lithosol,'',''
Quel processus domine lors de la podzolisation ?,chéluvation,argilluviation,altération de la roche mère,décalcification,'',''
Soit un calcosol qui devient un calcisol. Quel processus a eu lieu ?,décarbonation,décalcification,chévulation,lessivage des argiles,'',''
A quoi reconnaît-on un reductisol ?,horizons Go et Gr,horizon g,formation d'un horizon E,horizon BPh,'',''
Quels horizons trouve-t-on dans un milieu tourbeux ?,histiques (H),organiques (O),organo-minéraux (A),aucun des trois,'',''
Lequels de ces sols a le pH le moins acide ?,BRUNISOL eutrique,LUVISOL,RANKOSOL,PODZOSOL meuble,'',''
Comment appelle-t-on une litière riche en azote et pauvre en lignine ?,améliorante,acidifiante,intermédiaire,nitrifiante,'',''
Laquelle de ces formes d'humus est présente dans les sols très fertiles ?,Mull,Mor,Moder,Mal,'',''
Comment appelle-t-on la quantité maximale de cations qu'une masse peut de sol peut fixer ?,CEC,ECA,CIA,APG,'',''
Quel est l'intrus ? (indice : un seul n'est pas un processus de pédogénèse),bioturbation,décarbonatation,brunification,éluviation,'',''
