Que vaut le moment dipolaire de la molécule CO2 ?;0 D;1 D;2.5 D;3 D;
Que vaut le moment dipolaire de H2O ?;1.84 D;1 D;0 D;1.5 D;
Lorsqu'une liaison se forme de l'énergie est dégagée !;Vrai;Faux;Pas toujours;Seulement pour celles des molécules (pas pour les sels);
Les forces de Van der Waals regroupent trois types de liaisons; lesquelles ?;Forces de London-Interactions de Debye-Interactions de Keesom; Forces de dispersion-Liaison hydrogène-Interactions de Keesom;Dipôle induit-Dipôle instantané-Liaisons hydrogène;Interactions de Debye-Dipôle induit-Interactions de Keesom;
Entres lesquelles de ces molécules peut-il y avoir des ponts hydrogène ?;NH3 et HCOOH;CH4 et CO2;NO2 et H2;SO3- et CH3-CH3;
La liaison hydrogène est la liaison entre molécules la plus forte et c'est une interaction de Debye Spécifique !;Faux ! C'est une interaction de Keesom;Faux ! Ce n'est pas la plus forte;Vrai;Faux;
Les interactions de Debye sont entre des molécules polaires et apolaires !;Vrai;Faux : entre deux molécules apolaires;Faux : entre deux molécules polaires;Faux : entre un dipôle permanent et un dipôle induit;
Quelle est l'énergie de Keesom du Cl2 ?;0;0.7;2;4;
Plus un composé a de couches :;les trois propositions;plus la longueur de liaison est grande;plus l'électronégativité est petite;plus le moment dipolaire est grand !;
De quoi sont constitués les hydrocarbures ?;C-H;C-O;O-H;C-O-H;
Soit l'éthane; l'héxane et l'octane. A cause de quoi l'octane a-t-il le point de fusion le plus élevé ?;les forces de London;l'octane est insaturé;les forces de Debye;les ponts hydrogène;
Qu'est-ce qui caractérise un carbone tertiaire ? un carbone lié à :;3 autres carbones;3 groupements OH;3 hydrogènes;un hydrogène; 
Combien d'électrons y a-t-il dans une orbitale S ?;de 0 à 2;2;0;de 1 à 2;
Qu'est-ce qui caractérise l'isomérie de constitution (= isomérie de structure) ?;Les 3 propositions;isomère de fonction;isomère de position;même formule brute;
Qu'est-ce qui caractérise l'isomérie géométrique ?;Même ordre des molécules mais orientation spatiale différente;Même ordre des molécules et même orientation spatiale différente;Ordre des molécules différent et orientation spatiale différente;Ordre des molécules différent mais même orientation spatiale; 
A quel atome correspond cette configuration électronique : 1s^2 2s^2 2p^6 ?;O;C;N;Cl; 
A quel atome correspond cette configuration électronique : 1s^2 2s^2 2p^2 ?;C;N;O;pas possible; 
