L'équation logistique prend en compte un facteur supplémentaire par rapport au modèle de Malthus. De quoi s'agit-il ?;frottement social;mortalité;progrès scientifique;finitude des ressources;
Voici l'équation logistique : p'(t) = a*p(t) - b*p(t)^2 . Pour t --> ∞ : p(t) --> ?;a/b;a/(2*b);b/a;b/(2*b);
Soit P(t) la population d'une ville confinée. Il n'y a donc aucune arrivée et aucun départ (Jin=Jout=0). Il y a plus de naissances que de décès (K > 0). On a alors : P'(t) = k*P(t). Quelle est la solution de cette ED ?;P(t) = k*(e^kt); P(t) = k*(e^-kt);P(t) = -k*(e^kt); P(t) = -k*(e^-kt);
Soit P(t) la population de loup dans les Alpes. Ils sont protégés (donc ils se reproduisent plus qu'ils ne meurent). On en réintroduit régulièrement un (tous les mois par exemple). Quelle est l'ED qui décrit cette population ?;P'(t) = J + k*P(t);P'(t) = J - k*P(t);P'(t) = k*P(t) - J;absolument aucune idée;
Soit l'évolution d'une population décrit par l'ED : P'(t) = J - k*P(t). L'equation a pour solution : P(t) = [P(0) - J/k]*(e^-kt) + J/k. Pour t --> +∞, P(t) = ?;J/k;k/J;P(0)-J;P(J/k);
Soit un lac dont la concentration en phospore dépend l'apport des vaches (différents selon les saisons). Le changement de concentration est décrit par l'ED suivante : C'(t) = Jin(t) - k*C(t), k constante de désintégration. C∞(t) = Jin(t)/k représente :;l'état stationnaire;la station étatique;le nombre de vaches;hein ?;
Soit un système qui subit une perturbation periodique Jin(t) = j(0) + j(1)*sin(wt). La(les) différence(s) entre les graphes de la solution et de l'état stationnaire est(sont) :;l'amplitude et un décalage de phase;l'amplitude et la période;un décalage de phase;la période;
Reprenons le système de l'objet à roues fixé à une paroi via un ressort. L'ED dans un milieu quelconque (pas vide) est la suivant : x''(t) + 2d*x'(t) + k*x(t) = 0. Qu'est-ce que "d" ?;constante d'armotissement;constante du ressort;densité du milieu;je ne sais pas;
Soit un système d'equations différentielles "proies/prédateurs" (sans pêcheurs ni frottement social). Les solutions s(t) et r(t) sont :;périodiques de même période;périodiques de même amplitude;exponentielles;circulaires;
Soit un système d'équations différentielles "proies/prédateurs" (s et r) prenant en compte le frottement social. Quels contraintes doit on poser pour que la population de prédateurs de disparaisse pas ?;ad > cλ;aλ > cb; ba = dc;µa > db;
